domain,domain_url,environment,environment_url,,,
Jumanji,https://github.com/instadeepai/jumanji,Knapsack,https://raw.githubusercontent.com/instadeepai/jumanji/main/docs/env_anim/knapsack.gif,packing,single-agent,
Jumanji,https://github.com/instadeepai/jumanji,Maze,https://raw.githubusercontent.com/instadeepai/jumanji/main/docs/env_anim/maze.gif,routing,single-agent,
Jumanji,https://github.com/instadeepai/jumanji,Minesweeper,https://raw.githubusercontent.com/instadeepai/jumanji/main/docs/env_anim/minesweeper.gif,logic,single-agent,
Jumanji,https://github.com/instadeepai/jumanji,MMST (Multi Minimum Spanning Tree Problem),https://raw.githubusercontent.com/instadeepai/jumanji/main/docs/env_anim/mmst.gif,routing,multi-agent,
Jumanji,https://github.com/instadeepai/jumanji,MultiCVRP (Multi-Agent Capacitated Vehicle Routing Problem),https://raw.githubusercontent.com/instadeepai/jumanji/main/docs/env_anim/multi_cvrp.gif,routing,single-agent,
Jumanji,https://github.com/instadeepai/jumanji,PacMan,https://raw.githubusercontent.com/instadeepai/jumanji/main/docs/env_anim/pac_man.gif,routing,single-agent,
Jumanji,https://github.com/instadeepai/jumanji,RobotWarehouse,https://raw.githubusercontent.com/instadeepai/jumanji/main/docs/env_anim/robot_warehouse.gif,routing,single-agent,
Jumanji,https://github.com/instadeepai/jumanji,RubiksCube,https://raw.githubusercontent.com/instadeepai/jumanji/main/docs/env_anim/rubiks_cube.gif,logic,single-agent,
Jumanji,https://github.com/instadeepai/jumanji,SlidingTilePuzzle,https://raw.githubusercontent.com/instadeepai/jumanji/main/docs/env_anim/sliding_tile_puzzle.gif,logic,single-agent,
Jumanji,https://github.com/instadeepai/jumanji,Snake,https://raw.githubusercontent.com/instadeepai/jumanji/main/docs/env_anim/snake.gif,routing,single-agent,
Jumanji,https://github.com/instadeepai/jumanji,Sokoban,https://raw.githubusercontent.com/instadeepai/jumanji/main/docs/env_anim/sokoban.gif,routing,single-agent,
Jumanji,https://github.com/instadeepai/jumanji,Sudoku,https://raw.githubusercontent.com/instadeepai/jumanji/main/docs/env_anim/sudoku.gif,logic,single-agent,
Jumanji,https://github.com/instadeepai/jumanji,Tetris,https://raw.githubusercontent.com/instadeepai/jumanji/main/docs/env_anim/tetris.gif,packing,single-agent,
Jumanji,https://github.com/instadeepai/jumanji,TSP (Travelling Salesman Problem),https://raw.githubusercontent.com/instadeepai/jumanji/main/docs/env_anim/tsp.gif,routing,single-agent,
Jumanji,https://github.com/instadeepai/jumanji,Level-Based Foraging,https://raw.githubusercontent.com/instadeepai/jumanji/main/docs/env_anim/lbf.gif,routing,single-agent,
Jumanji,https://github.com/instadeepai/jumanji,Search and Rescue,https://raw.githubusercontent.com/instadeepai/jumanji/main/docs/env_anim/search_and_rescue.gif,swarms,multi-agent,
Brax,https://github.com/google/brax,Humanoid,https://github.com/google/brax/raw/main/docs/img/humanoid_v2.gif,3D robotics,single-agent,
Brax,https://github.com/google/brax,Quadruped,https://github.com/google/brax/raw/main/docs/img/a1.gif,3D robotics,single-agent,
Brax,https://github.com/google/brax,Any,https://github.com/google/brax/raw/main/docs/img/ant_v2.gif,3D robotics,single-agent,
Brax,https://github.com/google/brax,Arm,https://github.com/google/brax/raw/main/docs/img/ur5e.gif,3D robotics,single-agent,
